Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value,,
Malaysia,MYS,1999,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,2.978890595,,
Malaysia,MYS,2024,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2.2272E+11,,
Malaysia,MYS,2023,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2.01469E+11,,
Malaysia,MYS,2022,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2.38513E+11,,
Malaysia,MYS,2021,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1.99776E+11,,
Malaysia,MYS,2020,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1.53233E+11,,
Malaysia,MYS,2019,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1.6715E+11,,
Malaysia,MYS,2018,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1.7723E+11,,
Malaysia,MYS,2017,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1.5927E+11,,
Malaysia,MYS,2016,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1.40986E+11,,
Malaysia,MYS,2015,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1.46687E+11,,
Malaysia,MYS,2014,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1.72878E+11,,
Malaysia,MYS,2013,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1.71708E+11,,
Malaysia,MYS,2012,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1.72152E+11,,
Malaysia,MYS,2011,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1.69226E+11,,
Malaysia,MYS,2010,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1.48932E+11,,
Malaysia,MYS,2009,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1.17327E+11,,
Malaysia,MYS,2008,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1.48391E+11,,
Malaysia,MYS,2007,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1.38432E+11,,
